Naam,Bedrijfsnummer,BTW-nummer,E-mail,E-mail geverifieerd,Telefoonnummer,Telefoon geverifieerd,Website,Website domain,Beschrijving,Activiteiten,NACE-codes,Provincie,Adres,Geschat aantal werknemers,Geschatte omzet,Bizzy URL
101,0743.479.561,BE0743.479.561,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"101 is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0743479.561?utm_source=export&utm_medium=lists_xlsx
100,0743.478.472,BE0743.478.472,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"100 is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0743478.472?utm_source=export&utm_medium=lists_xlsx
99,0743.475.207,BE0743.475.207,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"99 is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0743475.207?utm_source=export&utm_medium=lists_xlsx
De Tijdelijke Maatschap Stadsbader VBSC,0742.863.216,BE0742.863.216,info@stadsbader.com,Geverifieerd,+32 9 280 99 99,Geverifieerd,www.stadsbader.com,stadsbader,"De Tijdelijke Maatschap Stadsbader VBSC is gespecialiseerd in multidisciplinaire projecten op het gebied van bouw, infrastructuur, techniek en civiele werken, met de nadruk op kwaliteit, innovatie en duurzaamheid. Met een sterk team van 1.900 professionals bieden zij op maat gemaakte oplossingen voor zowel particuliere als publieke klanten.",Bouw van infrastructuur,42130,West-Vlaanderen,"Kanaalstraat 1, 8530 Harelbeke",1 - 10,€0 - €1M,app.bizzy.org/BE/0742863.216?utm_source=export&utm_medium=lists_xlsx
98,0737.863.657,BE0737.863.657,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"98 is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",Vastgoed,68201 - 68203,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0737863.657?utm_source=export&utm_medium=lists_xlsx
97,0737.858.214,BE0737.858.214,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"97 is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0737858.214?utm_source=export&utm_medium=lists_xlsx
YER Belgium,0732.658.618,BE0732.658.618,info@yer.be,Geverifieerd,+32 479 64 24 87,Geverifieerd,www.yer.be,yer,"YER Belgium / YER Professionals / YER Projects is een internationaal wervingsbureau dat gespecialiseerd is in vaste en tijdelijke posities voor professionals met verschillende graden. Met de focus op het matchen van de ambities van kandidaten en de behoeften van klanten, bieden zij deskundige begeleiding en ondersteuning gedurende het wervingsproces.",Arbeidsbemiddeling - Human resources,70210 - 78100 - 78300 - 78300 - 82110 - 82990 - 85609,Antwerpen,"Uitbreidingstraat 86, 2600 Berchem",50 - 100,€10M - €50M,app.bizzy.org/BE/0732658.618?utm_source=export&utm_medium=lists_xlsx
SWECO - AMIRATO,0729.656.170,BE0729.656.170,info@swecobelgium.be,Geverifieerd,+32 2 383 06 40,Geverifieerd,www.swecobelgium.be,swecobelgium,"SWECO - AMIRATO is Europa's toonaangevende ingenieurs- en adviesbureau dat duurzame gemeenschappen en steden van de toekomst vormgeeft. Samen met klanten en experts creëren zij oplossingen voor verstedelijking, digitalisering en maatschappelijke duurzaamheid.",Engineering,71121,Brussel,"Rue d'Arenberg 13/ 1, 1000 Brussel",1 - 10,€0 - €1M,app.bizzy.org/BE/0729656.170?utm_source=export&utm_medium=lists_xlsx
Furnico,0729.635.087,BE0729.635.087,info@furnibo.be,Geverifieerd,+32 58 52 49 24,Geverifieerd,www.furnibo.be,furnibo,"Furnico is een bouwbedrijf dat totaaloplossingen en expertise biedt in verschillende bouwprojecten, waaronder woningen, kantoren, openbare gebouwen en zwembaden. Met meer dan 25 jaar ervaring zorgt Furnico voor een uitstekende oplevering en klanttevredenheid.",Bouw,41101,West-Vlaanderen,"Bedrijvenlaan 7, 8630 Veurne",1 - 10,€0 - €1M,app.bizzy.org/BE/0729635.087?utm_source=export&utm_medium=lists_xlsx
NSB,0725.890.590,BE0725.890.590,info@willynaessens.be,Geverifieerd,+32 89 79 84 10,Geverifieerd,www.willynaessens.be,willynaessens,"NSB is een divers bedrijf met uiteenlopende zakelijke belangen, waaronder industriële bouw, landbouw, transport, dakbedekking en zwembaden. Ze geven prioriteit aan verticale integratie, diversificatie en menselijk kapitaal om hun doelen te bereiken.",Groothandel in bouwproducten - Vervaardiging van bouwproducten,,Oost-Vlaanderen,"Kouter 3/ A, 9790 Wortegem-Petegem",1 - 10,€0 - €1M,app.bizzy.org/BE/0725890.590?utm_source=export&utm_medium=lists_xlsx
STADSBADER - EEG,0725.590.187,BE0725.590.187,info@stadsbader.com,Geverifieerd,+32 9 280 99 99,Geverifieerd,www.stadsbader.com,stadsbader,"STADSBADER - EEG is gespecialiseerd in multidisciplinaire projecten op het gebied van bouw, infrastructuur, techniek en civiele werken, met de nadruk op kwaliteit, innovatie en duurzaamheid. Met een sterk team van 1.900 professionals bieden zij op maat gemaakte oplossingen voor zowel particuliere als publieke klanten.",Bouw,41203,West-Vlaanderen,"Kanaalstraat 1, 8530 Harelbeke",1 - 10,€0 - €1M,app.bizzy.org/BE/0725590.187?utm_source=export&utm_medium=lists_xlsx
94,0724.877.238,BE0724.877.238,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"94 is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0724877.238?utm_source=export&utm_medium=lists_xlsx
TESSENDERLO DEVELOPMENT SERVICES,0724.619.989,BE0724.619.989,info@tessenderlo.com,Geverifieerd,+32 2 639 18 11,Geverifieerd,www.tessenderlo.com,tessenderlo,"TESSENDERLO DEVELOPMENT SERVICES exploiteert een 425 MW gecombineerde cyclus gas turbine elektriciteitscentrale, die efficiënte en milieuvriendelijke elektriciteitsproductie biedt. Het maakt deel uit van de Tessenderlo Groep en fungeert als een Onafhankelijke Energieproducent.",Elektriciteit - Energie,35110 - 35120 - 35140 - 64200 - 71121,Brussel,"Rue du Trône 130, 1050 Ixelles",1 - 10,€0 - €1M,app.bizzy.org/BE/0724619.989?utm_source=export&utm_medium=lists_xlsx
TV STADSBADER WILLEMEN INFRA,0723.432.334,BE0723.432.334,info@stadsbader.com,Geverifieerd,+32 9 280 99 99,Geverifieerd,www.stadsbader.com,stadsbader,"TV STADSBADER WILLEMEN INFRA is gespecialiseerd in multidisciplinaire projecten op het gebied van bouw, infrastructuur, techniek en civiele werken, met de nadruk op kwaliteit, innovatie en duurzaamheid. Met een sterk team van 1.900 professionals bieden zij op maat gemaakte oplossingen voor zowel particuliere als publieke klanten.",Bouw,41203,West-Vlaanderen,"Kanaalstraat 1, 8530 Harelbeke",1 - 10,€0 - €1M,app.bizzy.org/BE/0723432.334?utm_source=export&utm_medium=lists_xlsx
"Vandenbussche, Benjamin",0721.854.501,BE0721.854.501,info@vandenbusschebouw.be,Geverifieerd,+32 9 325 75 47,Geverifieerd,www.vandenbusschebouw.be,vandenbusschebouw,"Vandenbussche, Benjamin is een algemeen aannemersbedrijf in klasse 8 dat gespecialiseerd is in nieuwbouw- en renovatieprojecten voor appartementen, kantoren, scholen, zorgcentra en sportcomplexen. Ze bieden een scala aan diensten aan, van studie en ontwerp tot constructie en afwerking, waarbij zowel traditionele als innovatieve bouwmethoden worden toegepast.",Woningbouw,45402 - 74101 - 85510 - 96099,Brussel,"Malieplein 7, 1083 Ganshoren",1 - 10,€0 - €1M,app.bizzy.org/BE/0721854.501?utm_source=export&utm_medium=lists_xlsx
THV Stadsbader - Ergon,0721.410.675,BE0721.410.675,info@stadsbader.com,Geverifieerd,+32 9 280 99 99,Geverifieerd,www.stadsbader.com,stadsbader,"THV Stadsbader - Ergon is gespecialiseerd in multidisciplinaire projecten op het gebied van bouw, infrastructuur, techniek en civiele werken, met de nadruk op kwaliteit, innovatie en duurzaamheid. Met een sterk team van 1.900 professionals bieden zij op maat gemaakte oplossingen voor zowel particuliere als publieke klanten.",Bouw van infrastructuur - Woningbouw,,West-Vlaanderen,"Kanaalstraat 1, 8530 Harelbeke",1 - 10,€0 - €1M,app.bizzy.org/BE/0721410.675?utm_source=export&utm_medium=lists_xlsx
"Verelst, An",0720.391.482,BE0720.391.482,info@verelst.be,Geverifieerd,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"Verelst, An biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Woningbouw,96022,Vlaams-Brabant,"Gasthuisstraat 57, 1785 Merchtem",1 - 10,€0 - €1M,app.bizzy.org/BE/0720391.482?utm_source=export&utm_medium=lists_xlsx
PEIROUN,0713.808.944,BE0713.808.944,info@verelst.be,Geverifieerd,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"PEIROUN biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Vastgoedontwikkeling,41101,Antwerpen,"Mechelsesteenweg 35, 2840 Rumst",1 - 10,€0 - €1M,app.bizzy.org/BE/0713808.944?utm_source=export&utm_medium=lists_xlsx
93,0711.912.197,BE0711.912.197,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"93 is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",Vastgoed,68201 - 68203,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0711912.197?utm_source=export&utm_medium=lists_xlsx
#Project2800,0707.580.356,BE0707.580.356,info@project2800.com,Geverifieerd,+32 15 30 03 60,Geverifieerd,www.project2800.com,project2800,"#Project2800 biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Verenigingen,94999,Antwerpen,"Klein Boom 15, 2580 Putte",1 - 10,€0 - €1M,app.bizzy.org/BE/0707580.356?utm_source=export&utm_medium=lists_xlsx
CHALAIN,0699.674.064,BE0699.674.064,info@verelst.be,Geverifieerd,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"CHALAIN biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Woningbouw,,Antwerpen,"Mechelsesteenweg 35, 2840 Rumst",1 - 10,€0 - €1M,app.bizzy.org/BE/0699674.064?utm_source=export&utm_medium=lists_xlsx
VERGECO,0699.672.876,BE0699.672.876,info@verelst.be,Geverifieerd,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"VERGECO biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Woningbouw,,Antwerpen,"Mechelsesteenweg 35, 2840 Rumst",1 - 10,€0 - €1M,app.bizzy.org/BE/0699672.876?utm_source=export&utm_medium=lists_xlsx
FINNIER,0699.671.688,BE0699.671.688,info@verelst.be,Geverifieerd,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"FINNIER biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Woningbouw,,Antwerpen,"Frankrijklei 106, 2000 Antwerpen",1 - 10,€0 - €1M,app.bizzy.org/BE/0699671.688?utm_source=export&utm_medium=lists_xlsx
BK PROJECTEN,0698.789.879,BE0698.789.879,info@bkprojecten.be,Geverifieerd,+32 479 50 80 12,Geverifieerd,www.bkprojecten.be,bkprojecten,"BK PROJECTEN is een bedrijf dat gespecialiseerd is in duurzame bouwprojecten, waarbij gebruik wordt gemaakt van de nieuwste technologieën en materialen om ecologische en doordacht ontworpen ruimtes te creëren.",Vastgoedontwikkeling,41101 - 41101 - 41102,Antwerpen,"Wijngaardstraat 5, 2390 Malle",1 - 10,€1M - €2M,app.bizzy.org/BE/0698789.879?utm_source=export&utm_medium=lists_xlsx
Work In Progress,0694.830.004,BE0694.830.004,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"Work In Progress is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0694830.004?utm_source=export&utm_medium=lists_xlsx
92,0684.938.873,BE0684.938.873,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"92 is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0684938.873?utm_source=export&utm_medium=lists_xlsx
CROONWOLTER & DROS BV,0681.814.483,BE0681.814.483,info@croonwolterendros.nl,Geverifieerd,+31 88 923 6163,Geverifieerd,www.croonwolterendros.nl,croonwolterendros,"CROONWOLTER & DROS BV is een toonaangevend bedrijf dat gespecialiseerd is in het ontwerpen, ontwikkelen, implementeren, beheren en onderhouden van intelligente systemen en geïntegreerde, duurzame oplossingen. Met een focus op veiligheid, duurzaamheid, digitalisering, innovatie en samenwerking dragen zij bij aan het veiliger, comfortabeler, duurzamer en gezonder maken van de wereld.",Bouw,43222,,"POSTBUS 6073, 00000 3068 AV ROTTERDAM",1 - 10,€0 - €1M,app.bizzy.org/BE/0681814.483?utm_source=export&utm_medium=lists_xlsx
Gate Upkot,0679.926.250,BE0679.926.250,info@upgrade-estate.be,Geverifieerd,+32 9 395 98 98,Geverifieerd,www.upkot.be/,upkot,"Gate Upkot is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0679926.250?utm_source=export&utm_medium=lists_xlsx
THV STADSBADER GROEP JANSEN,0675.897.285,BE0675.897.285,info@stadsbader.com,Geverifieerd,+32 9 280 99 99,Geverifieerd,www.stadsbader.com,stadsbader,"THV STADSBADER GROEP JANSEN is gespecialiseerd in multidisciplinaire projecten op het gebied van bouw, infrastructuur, techniek en civiele werken, met de nadruk op kwaliteit, innovatie en duurzaamheid. Met een sterk team van 1.900 professionals bieden zij op maat gemaakte oplossingen voor zowel particuliere als publieke klanten.",Bouw,43299,West-Vlaanderen,"Kanaalstraat 1, 8530 Harelbeke",1 - 10,€0 - €1M,app.bizzy.org/BE/0675897.285?utm_source=export&utm_medium=lists_xlsx
HOUBEN HOLDING,0673.911.458,BE0673.911.458,info@houbennv.be,Geverifieerd,+32 11 26 96 00,Geverifieerd,www.houbennv.be/,houbennv,"HOUBEN HOLDING is een vooruitstrevend bouwbedrijf dat zich richt op samenwerking en bouwen voor de toekomst. Ze bieden een complete service, delen hun kennis en leveren duurzame projecten met een langetermijnvisie.",Holdings,64200 - 64200 - 68100 - 70220 - 82990,Limburg,"Prins-Bisschopssingel 36/ 5, 3500 Hasselt",1 - 10,€1M - €2M,app.bizzy.org/BE/0673911.458?utm_source=export&utm_medium=lists_xlsx
Flexprof BV,0672.662.732,BE0672.662.732,info@flexprof.nl,Geverifieerd,+31 6 55000598,Geverifieerd,www.flexprof.nl,flexprof,"Flexprof BV is een betrouwbare partner die een breed scala aan technische projecten aanbiedt in verschillende vakgebieden zoals bouw, civiele techniek, overheid, elektrotechniek en werktuigbouwkunde. Ze bieden flexibele en stabiele oplossingen, bouwen de carrières van professionals op en leveren kwaliteit aan hun klanten.",Engineering,78200,Meerssen,"Maastrichterlaan 82, 6241JB Bunde",1 - 10,€0 - €1M,app.bizzy.org/BE/0672662.732?utm_source=export&utm_medium=lists_xlsx
IKP Engineering,0668.423.337,BE0668.423.337,ikp@ikpbvba.be,Geverifieerd,+32 11 91 03 52,Geverifieerd,www.ikp-engineering.be,ikp-engineering,"IKP Engineering is een pragmatisch ingenieursbureau dat gespecialiseerd is in technische installaties en apparatuur voor gebouwen. Ze werken nauw samen met architecten om geïntegreerde ontwerpen te leveren en bieden diensten aan zoals HVAC-installaties, duurzame energieconcepten en bouwinformatiemodellering.",Engineering - Waterbouw,71121 - 71121 - 74909,Limburg,"Koeltorenlaan 15, 3550 Heusden-Zolder",1 - 10,€0 - €1M,app.bizzy.org/BE/0668423.337?utm_source=export&utm_medium=lists_xlsx
"Vancluysen, Liesbeth",0665.893.815,BE0665.893.815,liesbeth@lisamardi.be,Geverifieerd,+32 479 94 73 12,Geverifieerd,www.lisamardi.be,lisamardi,"Lisamardi is een lokale overheid die verschillende diensten aanbiedt aan haar inwoners, waaronder burgerzaken, huisvesting, afvalbeheer, onderwijs, mobiliteit, milieu, veiligheid en preventie.",Ontwerpdiensten,46190 - 47299 - 56301 - 74109,Limburg,"Rond Punt 7, 3550 Heusden-Zolder",1 - 10,€0 - €1M,app.bizzy.org/BE/0665893.815?utm_source=export&utm_medium=lists_xlsx
THV  STADSBADER  WESTCONSTRUCT,0664.940.839,BE0664.940.839,info@stadsbader.com,Geverifieerd,+32 9 280 99 99,Geverifieerd,www.stadsbader.com,stadsbader,"THV  STADSBADER  WESTCONSTRUCT is gespecialiseerd in multidisciplinaire projecten op het gebied van bouw, infrastructuur, techniek en civiele werken, met de nadruk op kwaliteit, innovatie en duurzaamheid. Met een sterk team van 1.900 professionals bieden zij op maat gemaakte oplossingen voor zowel particuliere als publieke klanten.",Bouw - Bouw van infrastructuur,42120 - 43999,West-Vlaanderen,"Kanaalstraat 1, 8530 Harelbeke",1 - 10,€0 - €1M,app.bizzy.org/BE/0664940.839?utm_source=export&utm_medium=lists_xlsx
Stadsbader Charity Fund,0664.604.111,BE0664.604.111,info@stadsbader.com,Geverifieerd,+32 9 280 99 99,Geverifieerd,www.stadsbader.com,stadsbader,"SCF is gespecialiseerd in multidisciplinaire projecten op het gebied van bouw, infrastructuur, techniek en civiele werken, met de nadruk op kwaliteit, innovatie en duurzaamheid. Met een sterk team van 1.900 professionals bieden zij op maat gemaakte oplossingen voor zowel particuliere als publieke klanten.",Verenigingen,,West-Vlaanderen,"Kanaalstraat 1, 8530 Harelbeke",1 - 10,€0 - €1M,app.bizzy.org/BE/0664604.111?utm_source=export&utm_medium=lists_xlsx
KAAI UPKOT,0660.749.944,BE0660.749.944,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upkot.be/,upkot,"KAAI UPKOT is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0660749.944?utm_source=export&utm_medium=lists_xlsx
Feel Flex BV,0658.700.967,BE0658.700.967,info@feelflex.nl,Geverifieerd,+31 88 747 0250,Geverifieerd,www.feelflex.nl,feelflex,"Feel Flex BV is een unieke dienst voor werkgelegenheid die individuen helpt de perfecte baan te vinden, terwijl ze extra ondersteuning bieden zoals vervoer en hulp bij papierwerk. Ze bieden een breed scala aan vacatures in verschillende sectoren, waarbij ze een mensgerichte benadering van werkgelegenheid waarborgen.",,,Meierijstad,"Pater van den Elsenlaan 37, 5462GG Veghel",1 - 10,€0 - €1M,app.bizzy.org/BE/0658700.967?utm_source=export&utm_medium=lists_xlsx
Upliving BXL - The Brewery,0657.801.639,BE0657.801.639,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"Upliving BXL - The Brewery is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",Vastgoedontwikkeling,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€2M - €5M,app.bizzy.org/BE/0657801.639?utm_source=export&utm_medium=lists_xlsx
PERITEC,0632.465.833,BE0632.465.833,info@peritas.be,Geverifieerd,+32 9 277 00 99,Geverifieerd,www.peritas.be/,peritas,"Peritas is een dynamisch adviesbureau gespecialiseerd in energieprojecten, veiligheidscoördinatie, stabiliteitsstudies en speciale technieken. Ze bieden diensten aan zoals EPB-rapportage, energie-audits, veiligheidscoördinatie en terreinbeschrijvingen.",Engineering,71121 - 71121 - 71209,Antwerpen,"Spoorweglaan 29, 2610 Wilrijk",10 - 20,€2M - €5M,app.bizzy.org/BE/0632465.833?utm_source=export&utm_medium=lists_xlsx
Valor.,0629.889.294,BE0629.889.294,info@valornv.be,Geverifieerd,+32 3 376 79 17,Geverifieerd,www.valornv.be,valornv,"Valor is een bouwbedrijf dat gespecialiseerd is in duurzame en energiezuinige projecten. Ze richten zich op stedelijke verdichting en integreren bomen en planten op hun projectlocaties, waardoor levendige groene ruimtes ontstaan in dichtbebouwde omgevingen.",Bouw - Vastgoedontwikkeling,41101 - 43120 - 43211 - 43222 - 43310 - 43320 - 43331,Antwerpen,"Beekstraat 112, 2830 Willebroek",1 - 10,€1M - €2M,app.bizzy.org/BE/0629889.294?utm_source=export&utm_medium=lists_xlsx
BK INVEST,0546.706.351,BE0546.706.351,info@bkprojecten.be,Geverifieerd,+32 3 304 62 48,Geverifieerd,www.bkprojecten.be,bkprojecten,"BK PROJECTEN is een bedrijf dat gespecialiseerd is in duurzame bouwprojecten, waarbij gebruik wordt gemaakt van de nieuwste technologieën en materialen om ecologische en doordacht ontworpen ruimtes te creëren.",Woningbouw,41101 - 41102 - 41201,Antwerpen,"Wijngaardstraat 5, 2390 Malle",1 - 10,€0 - €1M,app.bizzy.org/BE/0546706.351?utm_source=export&utm_medium=lists_xlsx
"Houben, An",0540.561.105,BE0540.561.105,info@houbennv.be,Geverifieerd,+32 11 26 96 00,Geverifieerd,www.houbennv.be,houbennv,"Houben, An is een vooruitstrevend bouwbedrijf dat zich richt op samenwerking en bouwen voor de toekomst. Ze bieden een complete service, delen hun kennis en leveren duurzame projecten met een langetermijnvisie.",Bouwarchitecten,,Vlaams-Brabant,"Vaartstraat 22, 3000 Leuven",1 - 10,€0 - €1M,app.bizzy.org/BE/0540561.105?utm_source=export&utm_medium=lists_xlsx
NEY & PARTNERS WOW,0536.891.436,BE0536.891.436,bxl@ney.part,Geverifieerd,+32 2 643 21 80,Geverifieerd,www.wow.timber-engineering.partners,wow,"NEY & PARTNERS WOW is een bedrijf dat gespecialiseerd is in bruggen, infrastructuur, gebouwen, speciale constructies, houten constructies en speciale beglazing. Ze hebben een uitgebreid portfolio van projecten en staan bekend om hun expertise in ontwerp en bouw.",Architectuur - Bouwarchitecten - Stadsarchitecten,71121 - 71121,Waals-Brabant,"Rue d'Anogrune 154A, 1380 Lasne",10 - 20,€2M - €5M,app.bizzy.org/BE/0536891.436?utm_source=export&utm_medium=lists_xlsx
